sampleNumber	sampleNameNumber	sampleName	treatment	time	replicate	antibody	readout	cv	quality
13	S013	A2058 	DMSO	1hr	rep2	beta-Catenin	3.976579913	0.031590211	Good
14	S014	A2058 	901	1hr	rep2	beta-Catenin	3.710410645	0.0312869	Good
15	S015	A2058 	4032	1hr	rep2	beta-Catenin	3.847264025	0.032834753	Good
16	S016	A2058 	combo	1hr	rep2	beta-Catenin	4.485496913	0.054458843	Good
17	S017	A2058 	DMSO	3.5hr	rep2	beta-Catenin	5.187544623	0.039406243	Good
18	S018	A2058 	901	6hr	rep2	beta-Catenin	4.465532517	0.052928531	Good
19	S019	A2058 	4032	6hr	rep2	beta-Catenin	4.180246521	0.033601776	Good
20	S020	A2058 	combo	6hr	rep2	beta-Catenin	4.277935289	0.036326726	Good
21	S021	A2058 	DMSO	24hr	rep2	beta-Catenin	2.724478231	0.040795354	Good
22	S022	A2058 	901	24hr	rep2	beta-Catenin	3.511057399	0.033104973	Good
23	S023	A2058 	4032	24hr	rep2	beta-Catenin	2.521245722	0.041533025	Good
24	S024	A2058 	combo	24hr	rep2	beta-Catenin	3.095552528	0.038689205	Good
25	S025	A375	DMSO	1hr	rep1	beta-Catenin	3.827920036	0.031067392	Good
26	S026	A375	901	1hr	rep1	beta-Catenin	4.64015032	0.039976428	Good
27	S027	A375	4032	1hr	rep1	beta-Catenin	3.594468155	0.029946795	Good
28	S028	A375	combo	1hr	rep1	beta-Catenin	3.202986849	0.030187712	Good
29	S029	A375	DMSO	3.5hr	rep1	beta-Catenin	3.387718265	0.033272909	Good
30	S030	A375	901	6hr	rep1	beta-Catenin	3.439406703	0.035627953	Good
31	S031	A375	4032	6hr	rep1	beta-Catenin	3.538579317	0.029696182	Good
32	S032	A375	combo	6hr	rep1	beta-Catenin	2.906097711	0.030723285	Good
33	S033	A375	DMSO	24hr	rep1	beta-Catenin	3.146043907	0.04014001	Good
34	S034	A375	901	24hr	rep1	beta-Catenin	3.087168623	0.032042127	Good
35	S035	A375	4032	24hr	rep1	beta-Catenin	3.271121149	0.038007844	Good
36	S036	A375	combo	24hr	rep1	beta-Catenin	3.062202045	0.035414875	Good
37	S037	A375	DMSO	1hr	rep2	beta-Catenin	4.54474623	0.038211537	Good
38	S038	A375	901	1hr	rep2	beta-Catenin	4.506477152	0.038351273	Good
39	S039	A375	4032	1hr	rep2	beta-Catenin	4.203276445	0.039532714	Good
40	S040	A375	combo	1hr	rep2	beta-Catenin	4.48218353	0.029419648	Good
41	S041	A375	DMSO	3.5hr	rep2	beta-Catenin	3.347265158	0.032009801	Good
42	S042	A375	901	6hr	rep2	beta-Catenin	3.180234856	0.031854235	Good
43	S043	A375	4032	6hr	rep2	beta-Catenin	3.404949223	0.031416641	Good
44	S044	A375	combo	6hr	rep2	beta-Catenin	2.919221891	0.036529016	Good
45	S045	A375	DMSO	24hr	rep2	beta-Catenin	4.306620399	0.03920535	Good
46	S046	A375	901	24hr	rep2	beta-Catenin	4.062189833	0.032922341	Good
47	S047	A375	4032	24hr	rep2	beta-Catenin	4.089161912	0.039100866	Good
48	S048	A375	combo	24hr	rep2	beta-Catenin	4.327113005	0.030583156	Good
1	S001	A2058 	DMSO	1hr	rep1	c-Jun (phospho-Ser73)	0.183238868	0.019715417	Good
2	S002	A2058 	901	1hr	rep1	c-Jun (phospho-Ser73)	0.17820639	0.021598934	Good
3	S003	A2058 	4032	1hr	rep1	c-Jun (phospho-Ser73)	0.22174821	0.056337134	Good
4	S004	A2058 	combo	1hr	rep1	c-Jun (phospho-Ser73)	0.17099288	0.025027821	Good
5	S005	A2058 	DMSO	3.5hr	rep1	c-Jun (phospho-Ser73)	0.197265799	0.028692129	Good
6	S006	A2058 	901	6hr	rep1	c-Jun (phospho-Ser73)	0.175724208	0.028322795	Good
7	S007	A2058 	4032	6hr	rep1	c-Jun (phospho-Ser73)	0.1470879	0.030559796	Good
8	S008	A2058 	combo	6hr	rep1	c-Jun (phospho-Ser73)	0.137918917	0.033305881	Undet.
9	S009	A2058 	DMSO	24hr	rep1	c-Jun (phospho-Ser73)	0.212076816	0.036730027	Good
10	S010	A2058 	901	24hr	rep1	c-Jun (phospho-Ser73)	0.139208224	0.022684601	Good
11	S011	A2058 	4032	24hr	rep1	c-Jun (phospho-Ser73)	0.165153861	0.027844256	Good
12	S012	A2058 	combo	24hr	rep1	c-Jun (phospho-Ser73)	0.182307557	0.035140472	Good
13	S013	A2058 	DMSO	1hr	rep2	c-Jun (phospho-Ser73)	0.171246163	0.027978927	Good
14	S014	A2058 	901	1hr	rep2	c-Jun (phospho-Ser73)	0.169111063	0.044257552	Good
15	S015	A2058 	4032	1hr	rep2	c-Jun (phospho-Ser73)	0.187142064	0.035455515	Good
16	S016	A2058 	combo	1hr	rep2	c-Jun (phospho-Ser73)	0.18397233	0.020235552	Good
17	S017	A2058 	DMSO	3.5hr	rep2	c-Jun (phospho-Ser73)	0.237279875	0.029916056	Good
18	S018	A2058 	901	6hr	rep2	c-Jun (phospho-Ser73)	0.202767004	0.025522549	Good
19	S019	A2058 	4032	6hr	rep2	c-Jun (phospho-Ser73)	0.190737925	0.036568395	Good
20	S020	A2058 	combo	6hr	rep2	c-Jun (phospho-Ser73)	0.216633336	0.030875439	Good
21	S021	A2058 	DMSO	24hr	rep2	c-Jun (phospho-Ser73)	0.160446522	0.022879345	Good
22	S022	A2058 	901	24hr	rep2	c-Jun (phospho-Ser73)	0.174770482	0.024081363	Good
23	S023	A2058 	4032	24hr	rep2	c-Jun (phospho-Ser73)	0.131082392	0.06424883	Good
24	S024	A2058 	combo	24hr	rep2	c-Jun (phospho-Ser73)	0.158793708	0.017109852	Good
25	S025	A375	DMSO	1hr	rep1	c-Jun (phospho-Ser73)	0.243343771	0.060078492	Good
26	S026	A375	901	1hr	rep1	c-Jun (phospho-Ser73)	0.254970686	0.01847708	Good
27	S027	A375	4032	1hr	rep1	c-Jun (phospho-Ser73)	0.232367812	0.025518492	Good
28	S028	A375	combo	1hr	rep1	c-Jun (phospho-Ser73)	0.19508324	0.026079395	Undet.
29	S029	A375	DMSO	3.5hr	rep1	c-Jun (phospho-Ser73)	0.232580585	0.025045057	Undet.
30	S030	A375	901	6hr	rep1	c-Jun (phospho-Ser73)	0.208523079	0.019337682	Good
31	S031	A375	4032	6hr	rep1	c-Jun (phospho-Ser73)	0.198091396	0.024284702	Good
32	S032	A375	combo	6hr	rep1	c-Jun (phospho-Ser73)	0.168263621	0.033493735	Undet.
33	S033	A375	DMSO	24hr	rep1	c-Jun (phospho-Ser73)	0.236388192	0.035972188	Good
34	S034	A375	901	24hr	rep1	c-Jun (phospho-Ser73)	0.343374184	0.049562615	Poor
