sampleNumber	sampleName	treatment	time	antibody	readout	cv	quality	normReadout
40	Mel133	991	12hr	ERK1/2	2.25941854723056	0.0887825833971089	Undet.	6.21645601818567
41	Mel133	901	24hr	ERK1/2	3.15934110598429	0.0539721890936472	Undet.	5.54095191684185
42	Mel133	AK	24hr	ERK1/2	1.91952182453998	0.0880929826836439	Undet.	1.00783731390473
43	Mel133	Nt	24hr	ERK1/2	2.63857437669093	0.0626991622525138	Undet.	0.86719440609921
44	Mel133	PLX	24hr	ERK1/2	3.53732166736477	0.0587821864426684	Undet.	0.352534361303589
45	Mel133	SR	24hr	ERK1/2	3.1696787836164	0.0614419746614423	Undet.	0.306140239105244
46	Mel133	St	24hr	ERK1/2	3.25957198440183	0.0702457768419321	Undet.	0.504048386900318
47	Mel133	Tm 	24hr	ERK1/2	2.92612711958822	0.121953250454142	Undet.	0.404603076569196
48	Mel133	991	24hr	ERK1/2	4.18308467333738	0.0592342957245564	Undet.	19.9156495892445
49	Mel133	901	48hr	ERK1/2	6.43241084507676	0.0700974922363574	Good	11.2698360306556
50	Mel133	AK	48hr	ERK1/2	6.57553150365683	0.0517414070782783	Good	16.4818244355454
51	Mel133	Nt	48hr	ERK1/2	9.87771336623834	0.143666565928914	Undet.	3.31640929657016
52	Mel133	PLX	48hr	ERK1/2	9.19736904357668	0.0830539292369141	Good	21.581192827209
53	Mel133	SR	48hr	ERK1/2	11.8122709075147	0.0959656548208909	Good	44.682650575898
54	Mel133	St	48hr	ERK1/2	11.3347334546594	0.109779227605731	Good	8.43862275680785
55	Mel133	Tm 	48hr	ERK1/2	6.97386982553434	0.0452500895019833	Undet.	6.96668008349753
56	Mel133	991	48hr	ERK1/2	9.9560887475673	0.111576334740212	Good	8.68778434010442
57	Mel133	DMSO	5min	ERK1/2	4.39307928117813	0.0747092117196164	Undet.	4.105354518151
58	Mel133	DMSO	15min	ERK1/2	3.51767351328911	0.068325477109045	Good	14.7928122035522
59	Mel133	DMSO	30min	ERK1/2	4.16282609815634	0.0500650392267392	Undet.	7.49841025134935
60	Mel133	DMSO	1hr	ERK1/2	4.24057329041521	0.0497779739284557	Undet.	18.8443483443814
61	Mel133	DMSO	12hr	ERK1/2	2.49878244288359	0.0470045359375329	Undet.	20.3751863661672
62	Mel133	DMSO	24hr	ERK1/2	2.25001107856442	0.197656240547859	Good	49.2082002458332
63	Mel133	DMSO	48hr	ERK1/2	11.5248148196074	0.156652765753523	Undet.	30.0035413770649
64	A2058	DMSO-2	mix	ERK1/2	3.1235113577155	0.0499586547002686	Undet.	50.4461509104287
65	Mel133	DMSO-2	mix	ERK1/2	1.43887658561277	0.0482660511542907	Good	6.40383699093217
1	Mel133	901	5min	ERK1/2-pT202/Y204	1.42169963499232	0.0463227971522334	Good	24.4575359178055
2	Mel133	AK	5min	ERK1/2-pT202/Y204	2.66997377519821	0.045090647140093	Good	25.3882501821671
3	Mel133	Nt	5min	ERK1/2-pT202/Y204	2.46772526231458	0.0450120152010187	Undet.	17.8795998094443
4	Mel133	PLX	5min	ERK1/2-pT202/Y204	1.3400809240542	0.0542106137393373	Good	27.0175980906582
5	Mel133	SR	5min	ERK1/2-pT202/Y204	1.14052296793835	0.0722977638389669	Good	29.0869163627753
6	Mel133	St	5min	ERK1/2-pT202/Y204	2.53429947837733	0.0663950998693974	Good	2.35532618491034
7	Mel133	Tm 	5min	ERK1/2-pT202/Y204	1.55308277220607	0.047055599816597	Good	5.14930715225853
8	Mel133	991	5min	ERK1/2-pT202/Y204	2.95120476668085	0.0453867593894396	Good	6.56336321854307
9	Mel133	901	15min	ERK1/2-pT202/Y204	0.381398683183058	0.106434191356486	Undet.	4.31118736642688
10	Mel133	AK	15min	ERK1/2-pT202/Y204	1.35346422111211	0.0440586753796461	Good	14.4801372427049
11	Mel133	Nt	15min	ERK1/2-pT202/Y204	2.19703788782994	0.0435686717291576	Good	0.938005256717056
12	Mel133	PLX	15min	ERK1/2-pT202/Y204	0.790136130048234	0.0456752035480956	Good	1.0091038249651
13	Mel133	SR	15min	ERK1/2-pT202/Y204	0.98949352207927	0.0591869835076345	Good	0.869361654802102
14	Mel133	St	15min	ERK1/2-pT202/Y204	3.10497279840773	0.0483041223058343	Undet.	0.598214035639086
15	Mel133	Tm 	15min	ERK1/2-pT202/Y204	1.40200458047535	0.0687903474575175	Good	0.810918919159324
16	Mel133	991	15min	ERK1/2-pT202/Y204	2.35615815441687	0.0388289346721791	Good	0.740753062450884
17	Mel133	901	30min	ERK1/2-pT202/Y204	0.286730315972704	0.0658888348373488	Undet.	15.49032171354
18	Mel133	AK	30min	ERK1/2-pT202/Y204	1.1217901825574	0.0386534317312772	Undet.	16.6334628136416
19	Mel133	Nt	30min	ERK1/2-pT202/Y204	1.26073818692968	0.046820872135201	Good	11.5958126664309
20	Mel133	PLX	30min	ERK1/2-pT202/Y204	0.408136784127972	0.0793920478458739	Undet.	15.5637984720731
21	Mel133	SR	30min	ERK1/2-pT202/Y204	0.746206372256484	0.0702145921752204	Good	21.6802394676654
22	Mel133	St	30min	ERK1/2-pT202/Y204	1.59135990316726	0.0864474843276543	Good	5.97885524964347
23	Mel133	Tm 	30min	ERK1/2-pT202/Y204	1.79170818668086	0.0555200904768977	Good	10.3504369180813
24	Mel133	991	30min	ERK1/2-pT202/Y204	1.93016372989608	0.0565826774998134	Good	12.2929937909728
25	Mel133	901	1hr	ERK1/2-pT202/Y204	0.222161767682477	0.156415216645657	Good	11.1711842917925
26	Mel133	AK	1hr	ERK1/2-pT202/Y204	1.46354087818089	0.073767726063852	Undet.	35.8143972397657
27	Mel133	Nt	1hr	ERK1/2-pT202/Y204	2.74811250408746	0.110982545491235	Good	13.1150794110988
28	Mel133	PLX	1hr	ERK1/2-pT202/Y204	0.303591981791269	0.055859646380941	Undet.	5.46909163316773
29	Mel133	SR	1hr	ERK1/2-pT202/Y204	1.06124279962261	0.0537584886201504	Good	7.20172372975568
30	Mel133	St	1hr	ERK1/2-pT202/Y204	2.54891138520724	0.0515593691511552	Good	7.22954017335151
31	Mel133	Tm 	1hr	ERK1/2-pT202/Y204	1.30863820927184	0.03628503135498	Good	6.47471358032017
32	Mel133	991	1hr	ERK1/2-pT202/Y204	2.69617740432932	0.0452246297418439	Good	8.94474078496399
33	Mel133	901	12hr	ERK1/2-pT202/Y204	0.397622217086002	0.185088599264039	Undet.	4.63890118362942
34	Mel133	AK	12hr	ERK1/2-pT202/Y204	1.75911586456766	0.0446991046125423	Good	4.91840818976217
35	Mel133	Nt	12hr	ERK1/2-pT202/Y204	3.23522007679183	0.0481096520866328	Good	4.62953711124002
36	Mel133	PLX	12hr	ERK1/2-pT202/Y204	0.450497953650854	0.0877120738349913	Good	1.855778272861
37	Mel133	SR	12hr	ERK1/2-pT202/Y204	1.13236681807647	0.0493370497075004	Good	8.63344632815741
38	Mel133	St	12hr	ERK1/2-pT202/Y204	2.58031706630705	0.0445946407110595	Good	0.357884664374215
39	Mel133	Tm 	12hr	ERK1/2-pT202/Y204	2.38172270872906	0.049739747429691	Undet.	0.580870988441976
40	Mel133	991	12hr	ERK1/2-pT202/Y204	2.76425090923841	0.0774048227005435	Good	0.226943385238586
41	Mel133	901	24hr	ERK1/2-pT202/Y204	0.32688721599988	0.0649520180086236	Undet.	0.299449077323987
42	Mel133	AK	24hr	ERK1/2-pT202/Y204	2.2807765755665	0.0582422904067096	Undet.	0.291961455491432
43	Mel133	Nt	24hr	ERK1/2-pT202/Y204	2.331040249721	0.0506278561606449	Good	0.306140842866307
44	Mel133	PLX	24hr	ERK1/2-pT202/Y204	0.474440327833838	0.0538256604518728	Good	11.882768472399
45	Mel133	SR	24hr	ERK1/2-pT202/Y204	2.00053024314987	0.0507230607653343	Undet.	11.2139578094195
46	Mel133	St	24hr	ERK1/2-pT202/Y204	3.05659161186392	0.0490201420015725	Good	18.327213696521
47	Mel133	Tm 	24hr	ERK1/2-pT202/Y204	2.5253263399211	0.0568023564485655	Undet.	4.51253829365886
48	Mel133	991	24hr	ERK1/2-pT202/Y204	4.87464381971816	0.0569400066246875	Good	72.3138505415754
49	Mel133	901	48hr	ERK1/2-pT202/Y204	0.616963036806948	0.0452071262953723	Good	5.39763002612012
50	Mel133	AK	48hr	ERK1/2-pT202/Y204	4.00239068647047	0.043406581912068	Good	5.8023637887427
51	Mel133	Nt	48hr	ERK1/2-pT202/Y204	6.25447014707894	0.0917361342904274	Undet.	7.50448831389507
52	Mel133	PLX	48hr	ERK1/2-pT202/Y204	0.992215432045639	0.0488966969479747	Good	3.8658721914089
53	Mel133	SR	48hr	ERK1/2-pT202/Y204	5.49928004724592	0.109067370870727	Good	15.8325982171066
54	Mel133	St	48hr	ERK1/2-pT202/Y204	8.04611393948268	0.368181861105887	Undet.	22.5720294372943
55	Mel133	Tm 	48hr	ERK1/2-pT202/Y204	4.34729165192213	0.0516317510057997	Good	14.7826085201779
56	Mel133	991	48hr	ERK1/2-pT202/Y204	6.67571514269374	0.112355421434579	Undet.	26.168651893907
57	Mel133	DMSO	5min	ERK1/2-pT202/Y204	4.32729494196549	0.0575440635102302	Good	11.582643131411
