sampleNumber	sampleName	treatment	time	antibody	readout	cv	quality	normReadout
4	A2058	PLX	5min	MET	0.978019523473815	0.153423538047908	Poor	1.81458369679822
5	A2058	SR	5min	MET	1.06528620747982	0.260335154511462	Undet.	2.01510431226084
6	A2058	St	5min	MET	1.18007923943949	0.164451616620744	Undet.	2.14958429410182
7	A2058	Tm 	5min	MET	1.70872456326982	0.23877459198928	Poor	2.9548925200003
8	A2058	991	5min	MET	1.53904381407421	0.179056952234471	Undet.	2.75437145375943
9	A2058	901	15min	MET	1.36630663898127	0.171454328494365	Undet.	2.66758360923242
10	A2058	AK	15min	MET	1.02934216294028	0.24159612489323	Poor	1.67097437793601
11	A2058	Nt	15min	MET	0.0178244896553622	2.41471514604969	Poor	0.0351399778141658
12	A2058	PLX	15min	MET	0.78956309079956	0.16449564540946	Undet.	1.71836694511559
13	A2058	SR	15min	MET	0.795272299256262	0.0881590746175738	Undet.	1.50569326226912
14	A2058	St	15min	MET	1.08406705918185	0.119435411395567	Poor	2.15609024515217
15	A2058	Tm 	15min	MET	1.33829746354073	0.281652248987844	Poor	2.42012717443715
16	A2058	991	15min	MET	0.902355957779392	0.174882528353923	Undet.	1.77180298765252
17	A2058	901	30min	MET	2.03883483880254	0.149385762589878	Undet.	3.45347871625896
18	A2058	AK	30min	MET	0.161587546369862	0.525619576540067	Poor	0.284450377047267
19	A2058	Nt	30min	MET	-0.0112642161255644	14.5021508991737	Poor	-0.0176746745335114
20	A2058	PLX	30min	MET	1.60645456037735	0.31607238305744	Undet.	2.86066800241763
21	A2058	SR	30min	MET	1.43597186124742	0.241553400834622	Undet.	2.37144018588107
22	A2058	St	30min	MET	1.16992130303901	0.177482171481643	Undet.	2.16498545124354
23	A2058	Tm 	30min	MET	1.67525104014429	0.323684402256857	Poor	2.85631903659007
24	A2058	991	30min	MET	1.39387405103472	0.128362204901757	Poor	2.38102265823419
25	A2058	901	1hr	MET	1.70683548363844	0.161626751071604	Undet.	2.98108071521126
26	A2058	AK	1hr	MET	1.29351655565251	0.22269548704394	Undet.	2.19519065222886
27	A2058	Nt	1hr	MET	1.45741862950689	0.218010615881399	Poor	2.70538915497592
28	A2058	PLX	1hr	MET	1.76951193491854	0.0387777977155086	Good	2.89770789947208
