AntibodyLabel,Source,NodeName,Gene_Symbol,Sites,Effect
BCLXL,MDACC,BclxL,BCL2L1,NA,c
BCl.XL,MDACC,BclxL,BCL2L1,NA,c
BCL.XL_C,MDACC,BclxL,BCL2L1,NA,c
Bcl.xL,MDACC,BclxL,BCL2L1,NA,c
Bcl.xL,MDACC,BclxL,BCL2L1,NA,c
Bcl.xL.R.V_GBL.9013819,MDACC,BclxL,BCL2L1,NA,c
Bcl.xL.R.V_GBL1033682,MDACC,BclxL,BCL2L1,NA,c
Bcl.xL.R.V_GBL1113160,MDACC,BclxL,BCL2L1,NA,c
Bcl.xL.R.V_GBL9026339,MDACC,BclxL,BCL2L1,NA,c
BCLW,MDACC,Bclw,BCL2L2,NA,c
Bcl.xL.wR.V_GBL1115099,MDACC,BclxL,BCL2L1,NA,c
BCl.XL(C)_GBL9007896,MDACC,BClXL,BCL2L1,NA,c
Bcl2,MDACC,BCL2,BCL2,NA,c
BCL2_C,MDACC,BCL2,BCL2,NA,c
BCl2_pS70,MDACC,BCl2pS70,BCL2,S70,a
BCl2_pS70_GBL9008319,MDACC,BCl2pS70,BCL2,S70,a
BCL2_RS00273415 (MOUSE),MDACC,BCL2,BCL2,NA,c
BCl2_RS00276603 (mouse),MDACC,BCl2,BCL2,NA,c
Bcl2.M.V_GBL1033931,MDACC,Bcl2,BCL2,NA,c
Bcl2.M.V_GBL1113381,MDACC,Bcl2,BCL2,NA,c
Bcl2.M.V_GBL1115070,MDACC,Bcl2,BCL2,NA,c
Bcl2.R.S_GBL1113364,MDACC,Bcl2,BCL2,NA,c
BCl2(C)_GBL9007916,MDACC,BCl2,BCL2,NA,c
BCl2(mouse)(V)_GBL9007872,MDACC,BCl2,BCL2,NA,c
BCL2A1,MDACC,Bcl2A1,BCL2A1,NA,c
Bcl2A1.R.V_GBL1114992,MDACC,Bcl2A1,BCL2A1,NA,c
BECLIN,MDACC,Beclin,BECN1,NA,c
Beclin,MDACC,Beclin,BECN1,NA,c
Beclin.G.C_GBL1033953,MDACC,Beclin,BECN1,NA,c
Beclin.G.C_GBL1113406,MDACC,Beclin,BECN1,NA,c
Beclin.G.C_GBL1115093,MDACC,Beclin,BECN1,NA,c
Beclin.G.V_GBL.9014285,MDACC,Beclin,BECN1,NA,c
Beclin.G.V_GBL9026330,MDACC,Beclin,BCL2L1,NA,c
BETAACTIN,MDACC,b.Actin,ACTB,NA,c
BETACATENIN,MSKCC,bCatenin,CTNNB1,NA,c
b.Catenin,MSKCC,bCatenin,CTNNB1,NA,c
B.Catenin,MSKCC,bCatenin,CTNNB1,NA,c
BETACATENIN_PS33_S37_T41,MSKCC,bCatenin_pS33_S37_T41,CTNNB1,S33|3T41,i
BETACATENIN_PS33,MSKCC,bCatenin_pS33,CTNNB1,S33,i
BETACATENIN_PT41_S45,MSKCC,bCatenin_pT41S35,CTNNB1,T41|S45,a
beta.Catenin,MSKCC,bCatenin,CTNNB1,NA,c
beta.Catenin.R.V_GBL.9013817,MDACC,betaCatenin,CTNNB1,NA,c
beta.Catenin.R.V_GBL.9013828,MDACC,betaCatenin,CTNNB1,NA,c
beta.Catenin.R.V_GBL9026194,MDACC,bCatenin,CTNNB1,NA,c
BID,MSKCC,Bid,BID,NA,c
Bid,MSKCC,Bid,BID,NA,c
BID_C,MDACC,Bid,BID,NA,c
Bid.R.C_GBL.9013820,MDACC,Bid,BID,NA,c
Bid.R.C_GBL1033683,MDACC,Bid,BID,NA,c
Bid.R.C_GBL1113161,MDACC,Bid,BID,NA,c
Bid.R.C_GBL9026340,MDACC,Bid,BID,NA,c
BID.CLEAVAGE.SITE,MDACC,Bid,BID,NA,c
Bid.wR.C_GBL1115100,MDACC,Bid,BID,NA,c
BIM,MSKCC,Bim,BCL2L11,NA,c
Bim,MSKCC,Bim,BCL2L11,NA,c
